"filename", "language", "Properties", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "Markdown", "XML", "Vue", "JavaScript", "SCSS", "comment", "blank", "total"
"e:\hc\外包\employee-Profiling\.env", "Properties", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"e:\hc\外包\employee-Profiling\.eslintrc.yml", "YAML", 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -1, -31
"e:\hc\外包\employee-Profiling\.github\dependabot.yml", "YAML", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -1, -10
"e:\hc\外包\employee-Profiling\.prettierrc.yaml", "YAML", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -1, -18
"e:\hc\外包\employee-Profiling\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, -8, -21
"e:\hc\外包\employee-Profiling\commitlint.config.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, -4, -1, -11
"e:\hc\外包\employee-Profiling\index.html", "HTML", 0, 0, 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, -1, -14
"e:\hc\外包\employee-Profiling\package.json", "JSON", 0, -82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -83
"e:\hc\外包\employee-Profiling\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, -5633, 0, 0, 0, 0, 0, 0, 0, -868, -6501
"e:\hc\外包\employee-Profiling\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -2214, 0, 0, 0, 0, -1, -2215
"e:\hc\外包\employee-Profiling\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, -4, -27
"e:\hc\外包\employee-Profiling\src\api\api.ts", "TypeScript", 0, 0, 0, -187, 0, 0, 0, 0, 0, 0, 0, -82, -9, -278
"e:\hc\外包\employee-Profiling\src\api\type.ts", "TypeScript", 0, 0, 0, -197, 0, 0, 0, 0, 0, 0, 0, 0, -14, -211
"e:\hc\外包\employee-Profiling\src\assets\svg\noResultTwo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"e:\hc\外包\employee-Profiling\src\assets\svg\noResultYet.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"e:\hc\外包\employee-Profiling\src\components\employeeTagCard\employeeTagCard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, -3, -41
"e:\hc\外包\employee-Profiling\src\components\loading\loading.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, 0, -4, -73
"e:\hc\外包\employee-Profiling\src\components\noResultYet\noResultYet.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, -3, -35
"e:\hc\外包\employee-Profiling\src\components\svgIcon\svgIcon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, -3, -38
"e:\hc\外包\employee-Profiling\src\components\userInfos\userInfos.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -168, 0, 0, -29, -13, -210
"e:\hc\外包\employee-Profiling\src\declare\myenv.d.ts", "TypeScript", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"e:\hc\外包\employee-Profiling\src\layouts\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -1, -3, -43
"e:\hc\外包\employee-Profiling\src\layouts\components\HomeAside.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -144, 0, 0, -6, -13, -163
"e:\hc\外包\employee-Profiling\src\layouts\components\HomeHeader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -94, 0, 0, 0, -5, -99
"e:\hc\外包\employee-Profiling\src\layouts\components\HomeMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, -3, -10
"e:\hc\外包\employee-Profiling\src\main.ts", "TypeScript", 0, 0, 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, -8, -33
"e:\hc\外包\employee-Profiling\src\router\index.ts", "TypeScript", 0, 0, 0, -407, 0, 0, 0, 0, 0, 0, 0, -13, -13, -433
"e:\hc\外包\employee-Profiling\src\stores\approval.ts", "TypeScript", 0, 0, 0, -57, 0, 0, 0, 0, 0, 0, 0, -22, -9, -88
"e:\hc\外包\employee-Profiling\src\stores\chart.ts", "TypeScript", 0, 0, 0, -54, 0, 0, 0, 0, 0, 0, 0, -2, -7, -63
"e:\hc\外包\employee-Profiling\src\stores\employee.ts", "TypeScript", 0, 0, 0, -471, 0, 0, 0, 0, 0, 0, 0, -4, -25, -500
"e:\hc\外包\employee-Profiling\src\stores\loading.ts", "TypeScript", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -1, -5, -15
"e:\hc\外包\employee-Profiling\src\stores\matching.ts", "TypeScript", 0, 0, 0, -66, 0, 0, 0, 0, 0, 0, 0, -4, -10, -80
"e:\hc\外包\employee-Profiling\src\stores\model.ts", "TypeScript", 0, 0, 0, -372, 0, 0, 0, 0, 0, 0, 0, -31, -10, -413
"e:\hc\外包\employee-Profiling\src\stores\performance.ts", "TypeScript", 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, -10, -7, -57
"e:\hc\外包\employee-Profiling\src\stores\post.ts", "TypeScript", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, -7, -57
"e:\hc\外包\employee-Profiling\src\stores\tag.ts", "TypeScript", 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -5, -22
"e:\hc\外包\employee-Profiling\src\stores\users.ts", "TypeScript", 0, 0, 0, -47, 0, 0, 0, 0, 0, 0, 0, 0, -9, -56
"e:\hc\外包\employee-Profiling\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -1, -5, -36
"e:\hc\外包\employee-Profiling\src\styles\iconfont.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -47, 0, -14, -61
"e:\hc\外包\employee-Profiling\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -201, -11, -38, -250
"e:\hc\外包\employee-Profiling\src\util\http.ts", "TypeScript", 0, 0, 0, -88, 0, 0, 0, 0, 0, 0, 0, -2, -8, -98
"e:\hc\外包\employee-Profiling\src\util\iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
